,Group,PD,SR,J,J_loess_prediction,J_residuals,J_highlight_high,J_highlight_low,R2
0,ABT,-0.7385007097709098,-0.7758306895441908,1.6975228528043778,0.12427998847429605,1.5732428643300818,False,False,0.009295374433878179
1,AFG,0.3691825928408257,0.4611131282587262,0.9216719468732832,-0.06868815478424103,0.9903601016575243,False,False,0.009295374433878179
2,AGE,0.5465771888562153,0.4059955480378393,-0.2823782522983759,-0.06522606760652601,-0.21715218469184988,False,False,0.009295374433878179
3,AGS,-0.9058457016297332,-1.3606375673589184,0.6836119715040057,0.22256265028800204,0.4610493212160036,False,False,0.009295374433878179
4,AGW,-0.1329690172554453,-0.4078260557832601,2.7029305894344358,-0.04536901728413567,2.7482996067185717,True,False,0.009295374433878179
5,ALA,-0.1474256745288218,-0.2373600847840067,-0.9450385375432904,-0.04471713685862689,-0.9003214006846635,False,False,0.009295374433878179
6,ALB,-0.0345757146385128,0.433913264707048,0.4115747928425308,-0.051791771282468486,0.46336656412499927,False,False,0.009295374433878179
7,ALD,-1.2513469347384405,-1.7447056892362882,0.5123108319255074,0.34842832054636913,0.16388251137913828,False,False,0.009295374433878179
8,ALG,-0.1942775305972008,0.1145389224482926,-1.1502561551934003,-0.04125884621019778,-1.1089973089832026,False,False,0.009295374433878179
9,ALT,-0.14427155534903,0.220928367474343,0.1260986560565635,-0.04487994024786483,0.17097859630442835,False,False,0.009295374433878179
10,ALU,-1.1829095744412936,-1.3606375673589184,0.5926447138624373,0.3334300877096705,0.25921462615276686,False,False,0.009295374433878179
11,AMU,-0.5173802077877031,-0.3478112764350301,0.3110688642540178,0.03176179565501188,0.27930706859900595,False,False,0.009295374433878179
12,AND,1.2506958371546515,0.981757459988118,-0.1041373693186084,-0.025562512997250254,-0.07857485632135815,False,False,0.009295374433878179
13,ANG,1.1904967604162071,1.204599274217144,0.2654343584179057,-0.02950535024047114,0.2949397086583768,False,False,0.009295374433878179
14,ARI,-0.0399348950649968,-0.0465899257343305,-0.2948160522074501,-0.05119971898739881,-0.2436163332200513,False,False,0.009295374433878179
15,ARK,-0.2295782476755851,-0.4715702278899226,-0.8595715348311386,-0.038340136606603445,-0.8212313982245352,False,False,0.009295374433878179
16,ARU,-0.7446799850308468,-1.213130445937304,1.6825156109150443,0.1275074081522517,1.5550082027627927,False,False,0.009295374433878179
17,ASK,-0.9019672955167786,-0.9708682891234034,1.8258457036604825,0.22006327077909263,1.6057824328813899,False,False,0.009295374433878179
18,ASS,1.847171750854199,1.6504701239951474,0.4543805709164078,0.014995135114805463,0.4393854358016024,False,False,0.009295374433878179
19,AUT,0.0621139741541596,0.6341746128716227,1.0603133863657987,-0.05560207829878759,1.1159154646645864,False,False,0.009295374433878179
20,AZO,-1.0606646912619926,-1.3606375673589184,1.4668246129304003,0.3021899505014721,1.164634662428928,False,False,0.009295374433878179
21,BAH,-0.1302358631697786,-0.3478112764350301,-1.6220175782073147,-0.04553311290530051,-1.5764844653020142,False,False,0.009295374433878179
22,BAL,-0.5231611265605729,-0.3478112764350301,-0.6208347353505316,0.03407996667231507,-0.6549147020228466,False,False,0.009295374433878179
23,BAN,1.801597551339997,1.7113299291882984,0.1746636443122953,0.011460349219564252,0.16320329509273104,False,False,0.009295374433878179
24,BEN,1.0229664843569537,1.1495104228008612,-0.3180409806244894,-0.04145012462567815,-0.2765908559988112,False,False,0.009295374433878179
25,BER,-1.6792306604068477,-1.7447056892362882,-0.1251620272295222,0.4201040759337708,-0.545266103163293,False,False,0.009295374433878179
26,BGM,-0.48912678370378,-0.0465899257343305,1.2525845451339996,0.020515284470593233,1.2320692606634065,False,False,0.009295374433878179
27,BIS,0.1417759728485544,-0.0465899257343305,1.4817493202174277,-0.06281169204479622,1.544561012262224,False,False,0.009295374433878179
28,BKN,0.7352659049197241,0.6788568558602504,-1.0722650517820551,-0.06139047348315185,-1.0108745782989033,False,False,0.009295374433878179
29,BLR,-0.5127861878304757,-0.0910936706383567,0.7430371941225199,0.02992344685693654,0.7131137472655834,False,False,0.009295374433878179
30,BLT,-0.6727600580773268,-0.1862733238983291,0.2842589950036555,0.09202843243659944,0.19223056256705603,False,False,0.009295374433878179
31,BLZ,0.940224459336712,0.8219889543502039,-0.3530849384248272,-0.04744251684436873,-0.30564242158045846,False,False,0.009295374433878179
32,BOL,1.6523911644984683,1.685656484757793,0.1673307996204799,0.0004344692507681992,0.1668963303697117,False,False,0.009295374433878179
33,BOR,1.653523366173444,1.4765469632901145,-0.1182515101969763,0.0005145225799431097,-0.11876603277691941,False,False,0.009295374433878179
34,BOT,0.3050456994469861,0.0370833440830452,-1.58699216446753,-0.0685193312993065,-1.5184728331682236,False,False,0.009295374433878179
35,BRC,-0.4299535387756404,-0.6123776352883421,-0.2356072702137188,0.00438124253241464,-0.23998851274613345,False,False,0.009295374433878179
36,BRY,-0.2471081507580919,0.0370833440830452,0.599969522174698,-0.037523929852410175,0.6374934520271082,False,False,0.009295374433878179
37,BUL,0.1728491368733148,0.7425575116536355,1.084087180651179,-0.06530060011638757,1.1493877807675665,False,False,0.009295374433878179
38,BUR,0.7625868551740667,0.5634271192824869,0.4246794157845032,-0.05960438124921503,0.4842837970337182,False,False,0.009295374433878179
39,BZC,1.409874915967665,1.444682692005843,-0.1495123734538354,-0.015588841153476715,-0.13392353230035867,False,False,0.009295374433878179
40,BZE,1.484716403585402,1.4869659638476924,-0.5350074227731499,-0.01084116932659283,-0.5241662534465571,False,False,0.009295374433878179
41,BZL,1.5305017385344175,1.566940682918563,-0.3929896377088432,-0.007864962515657577,-0.3851246751931856,False,False,0.009295374433878179
42,BZN,1.8494895487409813,1.8687789953376424,-0.3014419738447141,0.015176638707516277,-0.3166186125522304,False,False,0.009295374433878179
43,BZS,0.7688385016925147,0.8596013411073246,-0.6863930898741193,-0.05918120755580032,-0.6272118823183189,False,False,0.009295374433878179
44,CAB,0.201255213047368,0.4611131282587262,-0.2995357203899107,-0.06603445663644839,-0.23350126375346233,False,False,0.009295374433878179
45,CAF,1.2902945074547207,1.4229133206964009,-0.331756278669898,-0.023050931340388946,-0.30870534732950905,False,False,0.009295374433878179
46,CAL,-0.0397668852614965,0.0370833440830452,-0.3382500132797373,-0.05122096073900678,-0.2870290525407305,False,False,0.009295374433878179
47,CAY,-0.1840408559639587,-0.4715702278899226,-1.6188873904385443,-0.04218625728025075,-1.5767011331582936,False,False,0.009295374433878179
48,CBD,1.902878785959765,1.8238450678272684,-0.3274585664315462,0.019399085953063253,-0.34685765238460947,False,False,0.009295374433878179
49,CHA,0.6119698841332201,0.4611131282587262,-1.419451117873786,-0.06556551818437775,-1.3538855996894084,False,False,0.009295374433878179
