,Assigned_group,number_of_species_in_group,H,Hbc,G,J,GroupSize_Pathways,FAD,MFAD,APWD,GroupSize_FAD,FAD_Rare,MFAD_Rare,APWD_Rare,H_Rare,Hbc_Rare,G_Rare,J_Rare
count,340,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
unique,340,,,,,,,,,,,,,,,,,
top,ZIM,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,
mean,,36.63823529411765,1.2560078863510586,1.26615199445403,0.6385814205519192,0.7115716561233261,512.8588235294118,441586.5614332978,429.15911805822464,0.835027606303514,501.7147058823529,34.59244154985463,4.964089505223281,0.8326859786435666,0.9599952420338758,1.2289653087197723,0.5546773684870447,0.864543199481546
std,,38.245076145616466,0.20752631520870227,0.1978399626452371,0.09863497199813176,0.10155227041276652,519.3369644703508,1030836.4543909064,445.83893183143516,0.04046764761196634,509.0739679043197,2.233966974481381,0.2839109115873843,0.03983953459308661,0.16310102543438587,0.19873252102754033,0.08493691621263152,0.051862240110559586
min,,1.0,0.37677016125643675,0.4136410941337647,0.18146866589773158,0.3520211317774202,8.0,34.802955413583256,4.350369426697907,0.6214813466711295,8.0,21.2855132621019,3.3235887970128477,0.6124855876374091,0.2709858052171197,0.40532136779796757,0.16302040816326535,0.6230214103472124
25%,,12.0,1.1221176806618527,1.130198581146099,0.5899614849928349,0.6633502667943,206.75,32866.823518605874,162.43814950531237,0.8182144329555671,201.5,33.78247672443101,4.862436166596183,0.8167815867836526,0.8678535279351577,1.1098343078100614,0.5161051116295922,0.8474978845928819
50%,,22.0,1.3160941203882892,1.3200508044127635,0.6726827003060076,0.7191136936126219,329.0,86420.46121215945,266.23174046821924,0.8450605728951004,322.5,35.03390302354861,5.017793192449041,0.8405732004712834,0.9976602162795976,1.264958669088264,0.5779864417989418,0.8844477132893234
75%,,47.25,1.4082736030792207,1.4129282455359573,0.7075936334909488,0.7739407307274132,667.75,367394.68946548615,561.7651815530121,0.8654730597186828,655.0,36.15610968628576,5.1739910120032375,0.8636046329239955,1.0737147024677056,1.3742414178009532,0.612197298516629,0.8993799832327514
max,,226.0,1.5637882980450482,1.5637891476383203,0.7692177105327378,0.9903496196971808,3160.0,8310556.896445384,2685.1557015978624,0.8817019667907398,3095.0,36.904023403590124,5.278467509192596,0.8812528902240342,1.219963414655239,1.5879378903927588,0.6666292117031999,0.9223641089390553
